"Time","Jadavpur","Ballygunge","Rabindra_Sarobar","Bidhannagar","Rabindra_Bharati","Fort_William","Victoria","Kolkata"
"01-01-2022",93.93,109.25,73.08,69.83,113.29,94.26,86.34,91.4257142857143
"02-01-2022",83.48,106.23,67.59,76.88,121.76,82.41,83.82,88.8814285714286
"03-01-2022",76.82,115.86,68.78,76.75,129.84,96.8,78.08,91.8471428571429
"04-01-2022",69.68,148.65,95.76,102.76,170.97,128.76,110.09,118.095714285714
"05-01-2022",135.51,161.77,103.24,104.85,182.03,132.18,113.51,133.298571428571
"06-01-2022",124.1,154.74,95.43,105.21,173.53,115.19,104.52,124.674285714286
"07-01-2022",125.4,140,101.84,95.43,166.24,131.64,118.25,125.542857142857
"08-01-2022",94.66,109.56,81.95,73.95,133.63,94.54,92.28,97.2242857142857
"09-01-2022",99,115.29,86.67,77.09,142.7,NA,118.82,106.595
"10-01-2022",96.81,109.59,73.13,79.84,162.2,NA,109.51,105.18
"11-01-2022",98.82,102.69,77.61,82.1,167.31,76.48,100.84,100.835714285714
"12-01-2022",46.72,54.28,40.33,41.29,92.66,59.26,47.47,54.5728571428571
"13-01-2022",55.47,61.18,49.98,NA,99.5,66.46,61.45,65.6733333333333
"14-01-2022",57.47,61.11,43.46,NA,90.9,61.23,54.9,61.5116666666667
"15-01-2022",57.25,67.88,52.52,NA,100.84,67.06,60.53,67.68
"16-01-2022",73.53,85.42,61.33,NA,104.08,76.11,68.42,78.1483333333333
"17-01-2022",88.28,99.07,69.73,NA,130.96,91.71,75.76,92.585
"18-01-2022",98.87,115.15,77.78,NA,166.06,99.91,88.3,107.678333333333
"19-01-2022",117.28,115.84,95.24,121.43,173.04,114.51,98.09,119.347142857143
"20-01-2022",131.5,83.33,101.96,127.43,212.28,120.61,112.16,127.038571428571
"21-01-2022",127.98,153.65,102.94,140.36,227.11,140.31,138.46,147.258571428571
"22-01-2022",81.12,92.3,69.08,92.68,154.8,92.42,89.68,96.0114285714286
"23-01-2022",110.15,123.85,87.26,107.17,185.69,109.87,102.38,118.052857142857
"24-01-2022",86.53,86.61,62.74,74.04,114.19,77.05,74.42,82.2257142857143
"25-01-2022",91.16,97.26,72.86,91.46,150.01,88.36,84.56,96.5242857142857
"26-01-2022",91.01,95.89,73.47,87.9,122.82,86.81,85.31,91.8871428571429
"27-01-2022",81.04,84.38,62.36,71.66,107.42,77.13,73.61,79.6571428571429
"28-01-2022",79.56,92.35,64.7,79.73,NA,81.94,77.65,79.3216666666667
"29-01-2022",95.24,107.76,74.21,92.31,NA,96.6,89.9,92.67
"30-01-2022",117.71,125.15,95.35,109.04,NA,118.86,117.51,113.936666666667
"31-01-2022",71.86,85.26,56.2,80.89,NA,82.18,84.92,76.885
"01-02-2022",57.92,65.74,46.57,70.77,117.77,62.52,63.29,69.2257142857143
"02-02-2022",65.01,83.49,53.26,81.53,117.26,71.45,67.64,77.0914285714286
"03-02-2022",42.12,45.94,38.32,50.44,98.18,51.02,42.38,52.6285714285714
"04-02-2022",23.34,27.38,19.72,25.41,39.74,27.28,23.08,26.5642857142857
"05-02-2022",41.93,50.59,33.95,38.61,67.96,40.99,38.33,44.6228571428571
"06-02-2022",56.37,57.73,48.65,54.81,69.14,58.27,55.05,57.1457142857143
"07-02-2022",55.6,56.34,28.78,53.05,71.48,55.3,54.65,53.6
"08-02-2022",72.68,71.81,NA,71.88,104.97,76.96,73.9,78.7
"09-02-2022",71.64,67.74,NA,81.49,136.92,72.21,81.61,85.2683333333333
"10-02-2022",69.64,69.31,NA,76.85,58.97,66.04,62.28,67.1816666666667
"11-02-2022",92.16,96.53,NA,87.52,64.41,86.77,91.11,86.4166666666667
"12-02-2022",60.43,64.91,NA,59.82,83.56,61.06,59.99,64.9616666666667
"13-02-2022",55.66,71.25,NA,62.74,71.93,60.17,60.62,63.7283333333333
"14-02-2022",66.69,78.11,NA,69.78,89.78,72.36,70.89,74.6016666666667
"15-02-2022",91.79,89.35,NA,79.48,119.66,88.21,97.38,94.3116666666667
"16-02-2022",92.69,101.28,NA,88.63,112.01,102.33,103.35,100.048333333333
"17-02-2022",93.88,106.98,NA,94.96,133.23,108.51,116.98,109.09
"18-02-2022",99.39,98.93,NA,84.93,130.55,97.86,99.69,101.891666666667
"19-02-2022",90.83,100.62,NA,93.79,150.48,102.85,103.11,106.946666666667
"20-02-2022",67.05,74.03,NA,75.91,127.62,77.17,80.38,83.6933333333333
"21-02-2022",47.49,57.36,45.2,46.99,96.2,60.91,66.54,60.0985714285714
"22-02-2022",62.35,67.57,57.19,72.48,103.21,70.1,67.42,71.4742857142857
"23-02-2022",57.52,72.68,56.37,81.92,126.42,81.02,74.06,78.57
"24-02-2022",48.56,51.62,49.53,60.32,94.45,52.93,51.96,58.4814285714286
"25-02-2022",56.43,53.06,51.69,60.03,83.38,58.56,111.71,67.8371428571429
"26-02-2022",111.87,114.93,88.57,99.75,148.79,112.37,114.98,113.037142857143
"27-02-2022",82.82,84.34,65.45,78.06,117.1,84.08,93.67,86.5028571428571
"28-02-2022",47.12,55.16,43.63,48.63,83.94,52.94,54.33,55.1071428571429
