Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,80.85,174.6,10.81,22.31,20.37,42.83,12.16,1.01,4.3,1.27,3.19,,,0.42,1.11,19.15,90.27,0.16,151.56,0.0,0.0,28.03,1012.22,1.01
2024-01-02,81.18,167.44,9.28,23.25,19.64,43.03,14.13,0.96,9.75,1.29,4.32,,,0.45,1.13,18.06,76.67,0.13,174.4,0.0,0.0,32.23,1012.32,1.01
2024-01-03,63.9,135.96,14.89,22.1,23.54,42.7,13.57,0.92,10.1,1.08,2.66,,,0.43,1.09,18.71,79.97,0.2,148.03,0.0,0.0,34.88,1011.76,0.92
2024-01-04,75.9,158.95,23.2,27.02,32.77,50.19,9.16,1.22,11.45,1.37,4.66,,,0.47,1.28,19.31,82.15,0.12,209.25,0.0,0.0,30.71,1011.75,1.03
2024-01-05,88.55,173.81,34.75,30.73,43.97,56.16,7.79,1.47,15.57,3.81,8.97,,,1.68,1.33,19.79,75.14,0.14,187.49,0.0,0.0,33.29,1012.32,1.03
2024-01-06,80.81,175.11,22.83,30.14,34.11,52.07,10.36,1.29,9.2,1.33,6.23,,,0.49,1.2,20.06,75.71,0.09,187.76,0.0,0.0,32.2,1012.88,1.02
2024-01-07,92.26,192.57,7.07,24.71,18.63,42.74,12.46,1.1,4.38,1.09,2.74,,,0.44,1.12,20.58,85.46,0.12,172.81,0.0,0.0,31.96,1013.54,1.0
2024-01-08,104.29,206.8,6.12,22.86,16.9,42.12,10.83,1.08,14.36,1.07,2.43,,,0.42,1.11,20.09,89.51,0.17,124.01,0.0,0.0,32.25,1013.91,0.99
2024-01-09,91.34,181.29,8.9,23.24,19.33,42.25,7.54,1.09,16.35,1.08,3.44,,,0.41,1.09,19.48,86.84,0.11,168.66,0.0,0.0,31.16,1013.02,1.08
2024-01-10,112.03,217.25,26.15,33.16,38.35,51.19,8.21,1.52,17.11,1.77,5.09,,,0.54,1.22,20.15,77.27,0.09,197.94,0.0,0.0,28.33,1011.28,1.04
