Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,94.26,188.75,16.29,12.80,29.09,10.42,15.99,0.76,42.92,1.42,1.76,0.23,NA,0.43,0.43,23.35,70.11,1.40,279.63,0.00,0.00,103.14,NA,0.05
2022-01-02 00:00:00,82.41,135.43,NA,NA,NA,NA,16.10,0.62,34.72,1.17,0.78,0.17,NA,0.29,0.27,21.95,83.52,1.50,296.13,0.00,0.00,86.06,NA,-0.00
2022-01-03 00:00:00,96.80,162.50,NA,NA,NA,NA,18.07,0.77,36.82,1.71,2.61,0.21,NA,0.37,0.39,22.09,78.50,1.11,240.35,0.00,0.00,88.44,NA,0.13
2022-01-04 00:00:00,128.76,212.47,NA,NA,NA,NA,19.33,0.86,34.17,2.04,3.46,0.24,NA,0.46,0.46,21.72,76.90,1.08,216.30,0.00,0.00,88.38,NA,0.06
2022-01-05 00:00:00,132.18,219.95,NA,NA,NA,NA,19.05,0.99,36.37,2.14,2.46,0.25,NA,0.43,0.49,21.71,78.50,1.09,250.87,0.00,0.00,88.02,NA,-0.03
2022-01-06 00:00:00,115.19,192.08,NA,NA,NA,NA,14.22,1.06,38.48,2.37,4.14,0.30,NA,0.49,0.58,22.41,76.99,0.68,224.58,0.00,0.00,82.07,NA,-0.09
2022-01-07 00:00:00,131.64,224.82,NA,NA,NA,NA,19.35,1.11,37.30,3.31,7.45,0.33,NA,0.58,0.68,22.96,76.81,0.94,255.91,0.00,0.00,84.37,NA,-0.12
2022-01-08 00:00:00,94.54,160.07,NA,NA,NA,NA,12.25,0.72,44.44,1.30,1.92,0.21,NA,0.48,0.42,23.48,77.89,0.88,183.71,0.00,0.00,77.30,NA,-0.02
2022-01-09 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.64,81.27,0.70,217.12,0.00,0.00,75.61,NA,0.34
2022-01-10 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.27,79.65,0.64,212.21,0.00,0.00,75.58,NA,0.51
2022-01-11 00:00:00,76.48,140.83,NA,NA,NA,NA,17.86,0.54,57.94,1.04,1.53,0.17,NA,0.30,0.28,25.04,77.74,1.68,195.69,0.06,4.80,78.13,NA,0.18
2022-01-12 00:00:00,59.26,103.70,NA,NA,NA,NA,20.47,0.77,21.55,1.30,2.85,0.30,NA,0.93,0.70,23.15,91.27,0.86,206.22,0.00,0.20,53.43,NA,-0.03
2022-01-13 00:00:00,66.46,115.13,NA,NA,NA,NA,22.27,0.67,23.03,1.31,2.05,0.20,NA,0.41,0.38,23.56,86.60,1.14,258.93,0.00,0.40,79.92,NA,-0.05
2022-01-14 00:00:00,61.23,100.91,NA,NA,NA,NA,14.31,0.49,29.41,0.95,1.25,0.16,NA,0.30,0.26,22.84,83.00,1.82,94.57,0.00,0.00,44.71,NA,-0.06
2022-01-15 00:00:00,67.06,114.46,NA,NA,NA,NA,19.78,0.64,29.62,1.31,2.06,0.18,NA,0.33,0.30,22.88,79.67,1.50,201.97,0.00,0.40,76.21,NA,-0.01
2022-01-16 00:00:00,76.11,129.03,NA,NA,NA,NA,16.88,0.44,46.69,0.97,0.98,0.17,NA,0.29,0.28,22.20,73.08,1.75,252.16,0.00,0.00,92.22,NA,-0.18
2022-01-17 00:00:00,91.71,146.97,NA,NA,NA,NA,20.74,0.55,44.34,1.10,1.99,0.17,NA,0.31,0.28,21.70,76.91,1.31,238.68,0.00,0.00,90.54,NA,0.09
2022-01-18 00:00:00,99.91,168.88,NA,NA,NA,NA,17.62,0.70,42.29,1.20,1.81,0.23,NA,0.65,0.49,21.75,79.07,1.23,283.10,0.00,0.00,90.37,NA,-0.02
2022-01-19 00:00:00,114.51,194.50,NA,NA,NA,NA,15.47,0.80,36.31,1.74,3.01,0.29,NA,0.73,0.62,21.86,78.44,0.97,284.93,0.00,0.00,90.44,NA,-0.01
2022-01-20 00:00:00,120.61,216.40,NA,NA,NA,NA,22.18,0.91,40.65,1.77,2.55,0.31,NA,0.85,0.67,22.02,74.78,0.94,222.79,0.00,0.00,88.01,NA,-0.20
2022-01-21 00:00:00,140.31,244.94,NA,NA,NA,NA,21.65,1.09,38.03,4.15,10.17,0.53,NA,1.33,1.21,22.96,79.77,0.91,148.09,0.00,0.00,71.46,NA,-0.45
2022-01-22 00:00:00,92.42,149.25,NA,NA,NA,NA,14.52,0.69,31.30,2.75,4.78,0.28,NA,0.71,0.72,23.84,89.55,1.73,122.49,0.00,0.40,62.74,NA,-0.02
