Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,104.5,189.09,15.35,4.26,14.59,26.05,4.67,1.1,15.21,4.42,1.87,,,0.27,0.32,19.48,92.41,0.45,252.14,0.0,0.0,108.48,1012.22,-0.01
2024-01-02,97.82,177.41,15.1,3.97,14.24,25.44,4.24,1.01,14.31,4.97,2.09,,,0.3,0.33,18.51,78.52,0.49,255.04,0.0,0.0,114.29,1012.38,-0.03
2024-01-03,88.48,166.37,19.86,4.57,18.37,22.13,4.49,1.08,18.47,3.81,1.71,,,0.27,0.32,19.08,83.33,0.33,220.05,0.0,0.0,110.41,1012.44,-0.0
2024-01-04,105.57,192.13,35.39,4.92,31.01,19.93,4.96,1.59,17.17,5.53,2.52,,,0.43,0.39,19.83,84.43,0.19,224.82,0.0,0.0,103.46,1012.43,0.01
2024-01-05,119.01,227.76,46.0,6.36,40.27,22.24,5.55,1.84,17.02,6.38,3.31,,,0.63,0.5,20.32,77.92,0.14,196.23,0.0,0.0,102.12,1010.82,0.01
2024-01-06,117.63,206.13,35.45,5.89,31.56,20.71,5.84,1.67,19.81,4.6,2.7,,,0.55,0.46,20.53,78.51,0.28,221.65,0.0,0.0,94.01,1011.16,0.0
2024-01-07,114.29,208.23,18.67,3.97,17.1,17.81,4.66,1.16,18.22,5.49,2.49,,,0.37,0.37,20.97,87.11,0.29,261.14,0.0,0.0,92.41,1011.39,-0.0
2024-01-08,113.94,219.1,20.39,5.85,19.47,22.55,4.96,1.25,17.65,4.82,2.37,,,0.39,0.42,20.41,92.98,0.4,256.0,0.0,0.0,99.52,1011.61,-0.01
2024-01-09,89.47,190.12,37.67,7.68,34.28,23.73,5.29,1.53,18.78,3.69,2.06,,,0.45,0.42,19.8,88.28,0.38,247.72,0.0,0.0,108.02,1011.78,-0.01
2024-01-10,101.39,211.48,30.89,8.15,29.08,26.22,4.48,1.53,16.97,5.46,2.46,,,0.45,0.42,20.64,77.51,0.28,243.55,0.0,0.0,99.01,1012.14,0.01
2024-01-11,96.64,201.84,26.6,7.53,25.32,26.25,4.48,1.13,17.92,5.01,2.31,,,0.43,0.41,20.24,85.28,0.44,235.17,0.0,0.0,93.53,1012.01,-0.01
2024-01-12,98.08,181.42,7.25,6.52,9.28,25.24,4.28,0.54,16.63,3.55,1.58,,,0.25,0.31,17.92,82.26,0.61,255.87,0.0,0.0,109.49,1012.29,-0.03
2024-01-13,131.42,212.07,16.92,5.58,16.54,21.11,4.48,0.87,15.85,3.81,1.73,,,0.27,0.33,16.94,74.55,0.38,223.54,0.0,0.0,115.43,1012.37,-0.01
2024-01-14,153.63,247.22,12.26,5.94,13.0,20.98,4.42,0.87,15.62,4.43,1.87,,,0.27,0.33,17.33,80.24,0.36,233.02,0.0,0.0,106.67,1012.76,-0.01
2024-01-15,138.61,244.29,7.38,4.28,8.21,21.05,3.7,0.67,15.17,4.11,1.61,,,0.22,0.29,15.68,93.6,0.38,193.41,0.0,0.0,83.59,1003.19,-0.0
2024-01-16,112.19,217.48,7.88,5.2,9.05,21.37,3.44,0.49,16.04,4.14,1.69,,,0.21,0.29,16.67,94.61,0.32,204.61,0.0,0.0,102.7,995.2,-0.0
2024-01-17,89.34,177.86,8.65,4.59,9.39,21.51,3.56,0.59,14.71,4.63,1.85,,,0.23,0.3,16.77,99.11,0.16,155.62,0.0,0.0,94.12,,0.0
2024-01-18,89.19,172.15,8.58,4.23,9.15,21.32,4.0,0.54,13.87,4.69,1.79,,,0.21,0.29,16.86,99.73,0.21,147.68,0.02,0.02,31.17,,0.0
2024-01-19,84.2,152.69,8.24,4.86,9.2,21.84,4.02,0.51,15.56,4.01,1.67,,,0.22,0.3,18.61,99.65,0.55,263.98,0.0,0.0,77.67,,-0.01
2024-01-20,124.15,212.97,11.47,5.84,12.3,18.78,4.45,0.74,19.92,2.95,1.35,,,0.25,0.32,16.82,93.62,0.47,236.8,0.0,0.0,104.46,,-0.01
2024-01-21,151.33,256.69,24.17,5.47,22.3,10.84,3.87,1.27,14.09,4.78,2.38,,,0.41,0.43,17.13,97.84,0.2,220.9,0.0,0.0,42.78,,0.02
2024-01-22,137.02,232.48,14.56,7.13,15.46,13.69,3.76,0.87,13.59,3.61,1.75,,,0.33,0.38,15.57,89.72,0.44,253.58,0.0,0.0,111.92,1015.29,-0.01
2024-01-23,128.03,243.66,22.56,5.89,21.23,12.41,4.44,0.99,14.73,4.14,2.04,,,0.37,0.4,17.29,75.97,0.26,225.4,0.0,0.0,115.18,1013.5,0.01
2024-01-24,100.16,186.0,13.87,5.0,13.79,15.4,4.15,0.74,14.67,5.08,2.01,,,0.3,0.34,17.85,86.74,0.15,161.68,0.01,0.01,57.62,1013.67,0.01
2024-01-25,100.67,201.82,19.35,5.58,18.49,17.16,4.16,0.81,15.22,4.58,1.88,,,0.28,0.33,17.68,88.32,0.26,230.52,0.0,0.0,89.94,1015.54,0.01
2024-01-26,118.38,230.99,23.54,6.07,22.1,17.41,4.32,1.17,15.7,4.75,2.14,,,0.33,0.36,17.81,77.82,0.45,242.63,0.0,0.0,119.29,1016.42,-0.01
2024-01-27,97.43,209.98,36.98,7.16,33.45,15.33,5.47,1.34,15.7,4.6,2.13,,,0.41,0.39,17.98,67.6,0.41,235.85,0.0,0.0,110.5,1015.99,-0.01
