Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,88.27,126.71,28.43,45.97,47.23,19.81,22.24,0.79,31.2,5.0,6.36,,,2.13,3.33,19.18,90.87,0.61,166.15,0.0,0.0,59.61,1013.66,0.02
2024-01-02,81.67,120.82,27.93,47.98,47.56,20.33,18.81,0.64,31.2,4.97,6.36,,,2.09,3.37,18.16,80.87,0.51,181.74,0.0,0.0,61.15,1013.73,0.02
2024-01-03,68.04,103.62,55.05,49.77,70.25,27.68,12.97,0.96,30.99,4.82,6.32,,,2.1,3.36,18.73,82.43,0.51,155.69,0.0,0.0,61.18,1013.23,0.02
2024-01-04,83.97,121.38,66.16,66.23,87.77,33.45,16.1,1.46,31.17,5.01,6.36,,,2.1,3.29,19.44,83.56,0.49,173.3,0.0,0.0,58.46,1013.21,0.02
2024-01-05,104.03,149.24,121.53,83.01,141.0,51.67,19.01,2.09,31.1,4.84,6.33,,,2.08,3.32,19.8,78.05,0.55,151.18,0.0,0.0,58.21,1013.76,0.02
2024-01-06,91.34,131.49,61.37,76.54,89.32,34.12,19.81,1.39,31.35,4.98,6.28,,,2.1,3.38,20.15,78.24,0.5,179.76,0.0,0.0,57.37,1014.31,0.03
2024-01-07,100.48,138.63,25.06,49.62,46.13,19.29,25.76,0.84,31.24,4.94,6.37,,,2.12,3.31,20.54,86.53,0.53,167.83,0.0,0.0,57.58,1015.02,0.02
2024-01-08,111.85,150.76,19.35,50.5,42.01,17.92,28.89,0.81,31.18,5.02,6.31,,,2.09,3.34,20.23,90.24,0.57,139.84,0.0,0.0,58.61,1015.35,0.01
2024-01-09,93.55,125.8,27.72,49.24,48.03,29.24,19.68,0.79,31.23,4.95,6.26,,,2.12,3.39,19.44,87.19,0.5,172.31,0.0,0.0,60.48,1014.47,0.0
2024-01-10,97.92,143.99,73.95,119.63,122.38,44.02,20.98,1.06,31.12,4.87,6.29,,,2.13,3.32,20.17,78.35,0.5,179.85,0.0,0.0,58.34,1012.75,0.03
2024-01-11,97.38,141.97,29.29,86.32,68.75,24.14,20.84,0.71,31.2,4.89,6.29,,,2.11,3.35,19.97,82.49,0.56,163.61,0.0,0.0,57.47,1014.09,0.0
2024-01-12,85.76,119.15,12.56,63.08,43.13,16.78,14.57,0.44,31.12,4.94,6.3,,,2.12,3.36,17.8,81.23,0.58,130.45,0.0,0.0,61.61,1013.87,0.02
2024-01-13,101.36,139.24,50.62,93.54,89.8,30.69,19.02,0.89,31.07,4.9,6.27,,,2.13,3.32,16.6,77.28,0.53,188.38,0.0,0.0,63.83,1013.57,0.03
2024-01-14,126.88,165.16,10.18,77.59,48.82,18.35,19.63,0.75,31.22,4.98,6.36,,,2.13,3.32,17.06,80.47,0.47,179.63,0.0,0.0,61.73,1012.96,0.03
2024-01-15,115.17,161.8,10.28,51.61,35.32,14.33,11.96,0.7,31.11,4.94,6.33,,,2.13,3.29,15.69,91.74,0.68,128.03,0.0,0.0,60.57,1012.92,0.03
2024-01-16,103.91,140.08,18.55,70.16,51.56,19.14,14.02,0.34,31.14,4.94,6.26,,,2.1,3.31,16.5,91.86,0.5,134.04,0.0,0.0,63.1,1012.62,0.02
2024-01-17,79.94,118.43,10.38,62.71,41.31,16.03,9.81,0.22,31.2,4.87,6.38,,,2.1,3.35,16.84,94.45,0.79,82.2,0.0,0.0,60.76,1012.66,0.03
2024-01-18,79.95,131.02,13.28,58.89,41.54,16.18,12.1,,31.18,4.97,6.19,,,2.13,3.4,16.89,99.75,0.76,94.42,0.0,0.0,38.6,1012.67,0.03
