Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,86.34,162.68,21.47,24.84,45.98,65.16,15.64,0.87,34.88,7.12,10.58,NA,NA,2.77,3.69,NA,78.19,0.91,182.59,NA,0.00,201.01,NA,NA
2022-01-02 00:00:00,83.82,148.09,15.12,25.11,40.23,51.34,7.32,0.58,30.05,5.92,4.28,NA,NA,0.60,1.51,NA,86.40,0.93,216.87,NA,0.00,177.14,NA,NA
2022-01-03 00:00:00,78.08,148.30,27.44,27.40,54.80,62.87,8.93,0.81,32.80,8.51,12.93,NA,NA,1.59,2.73,NA,80.42,0.76,159.03,NA,0.00,191.52,NA,NA
2022-01-04 00:00:00,110.09,199.12,24.48,31.61,56.08,74.35,9.51,0.89,33.49,10.09,15.95,NA,NA,2.23,3.35,NA,79.42,0.74,169.57,NA,0.00,188.36,NA,NA
2022-01-05 00:00:00,113.51,198.20,53.38,33.25,85.30,97.68,10.26,1.29,31.76,10.87,14.14,NA,NA,2.62,4.40,NA,79.83,0.64,159.27,NA,0.00,190.70,NA,NA
2022-01-06 00:00:00,104.52,187.89,55.04,32.96,88.52,113.17,6.05,1.26,34.35,12.37,17.56,NA,NA,3.63,5.83,NA,80.35,0.56,152.39,NA,0.00,173.78,NA,NA
2022-01-07 00:00:00,118.25,199.93,37.77,33.73,71.49,105.99,8.83,1.15,33.10,15.85,29.27,NA,NA,3.51,5.39,NA,79.46,0.60,138.55,1.32,6.60,186.99,NA,NA
2022-01-08 00:00:00,92.28,163.59,40.61,27.07,67.68,84.60,4.98,1.20,35.22,8.86,16.61,NA,NA,3.00,4.24,NA,78.78,0.62,130.06,0.20,0.20,192.87,NA,NA
2022-01-09 00:00:00,118.82,194.62,69.40,21.14,89.16,144.01,4.39,1.19,33.57,11.98,21.63,NA,NA,6.06,7.82,NA,80.67,0.50,116.64,NA,0.00,191.70,NA,NA
2022-01-10 00:00:00,109.51,173.96,71.90,27.27,95.38,142.96,6.65,1.26,25.74,15.15,28.94,NA,NA,6.37,8.55,NA,80.82,0.46,139.96,NA,0.00,155.72,NA,NA
2022-01-11 00:00:00,100.84,180.55,49.87,19.61,67.12,100.59,8.36,0.72,42.99,12.94,16.87,NA,NA,3.12,4.55,NA,82.77,0.86,168.96,0.52,2.60,140.15,NA,NA
2022-01-12 00:00:00,47.47,88.16,18.75,20.31,39.06,49.51,6.66,0.75,15.87,5.70,11.17,NA,NA,2.19,3.08,NA,95.68,0.73,188.87,0.20,0.20,67.31,NA,NA
2022-01-13 00:00:00,61.45,111.51,17.17,21.52,38.68,58.61,10.28,0.61,20.52,6.56,11.56,NA,NA,1.54,2.53,NA,89.56,0.70,181.46,0.27,0.80,155.37,NA,NA
2022-01-14 00:00:00,54.90,95.14,7.60,19.77,27.36,40.94,5.64,0.38,29.76,5.32,7.73,NA,NA,0.61,1.49,NA,85.33,1.05,80.83,NA,0.00,60.65,NA,NA
2022-01-15 00:00:00,60.53,108.77,11.44,22.92,34.53,44.77,8.23,0.64,31.70,6.24,10.63,NA,NA,0.99,1.81,NA,81.52,0.80,135.32,0.20,0.40,139.36,NA,NA
2022-01-16 00:00:00,68.42,124.58,9.76,26.40,36.13,48.57,7.07,0.33,48.21,4.77,5.38,NA,NA,0.61,1.51,NA,75.33,0.94,198.45,NA,0.00,199.76,NA,NA
2022-01-17 00:00:00,75.76,147.06,8.14,35.32,43.42,56.30,8.39,0.60,39.91,6.53,8.29,NA,NA,1.59,2.58,NA,79.67,0.80,197.98,NA,0.00,191.02,NA,NA
2022-01-18 00:00:00,88.30,160.20,11.36,38.97,50.34,61.87,7.82,0.74,38.69,7.16,17.36,NA,NA,2.90,3.32,NA,80.48,0.80,196.68,NA,0.00,192.39,NA,NA
